id,idtipo,nombre35,nombre50,nombre105,nombre105_ent_suc,observaciones,codigocif,siglavia,nombrevia,numerovia,restodom,codpostal,poblacion,provincia,codpais,servtasa,telefono,pendbaja,numfax,dirinternet,fchbaja,motbaja,codentsuc,fechactualiza,fechaalta,codaut,codprov,nomcomercial,indicativonc,bic,nomentmatriz,direntmatriz,locentmatriz,cpentmatriz,telentmatriz,faxentmatriz,internetentmatriz,cod_autonomia,anagrama
1936,4,"CAIXA R. S. VICENT FERRER","CAIXA R. S. VICENT FERRER DE LA VALL D'UIXO,C.C.V.","CAIXA RURAL SANT VICENT FERRER DE LA VALL D'UIXO, COOP. DE CREDIT V.",NULL,NULL,F12014221,PZ,CENTRO,4,NULL,12600,"VALL DE UXO",CASTELLON,ES,NULL,964663012,NULL,964661988,WWW.RURALVIA.COM/SANTVICENT,NULL,NULL,0000,2008-02-18,1971-11-03,NULL,12,"C. SANT VICENT",S,BCOEESMM102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C. SANT VICENT"
1937,4,"C.R.CAÑETE TORRES N.SRA.CAMPO,SCA","CAJA R. DE CAÑETE TORRES NTRA.SRA.DEL CAMPO,S.C.A.","CAJA RURAL DE CAÑETE DE LAS TORRES NTRA.SRA.DEL CAMPO SOCIEDAD COOPERATIVA ANDALUZA DE CREDITO",NULL,NULL,F14011407,CL,MOLINO,2,NULL,14660,"CAÑETE DE LAS TORRES",CORDOBA,ES,NULL,957183031,NULL,957183031,NULL,NULL,NULL,0000,2008-02-18,1961-12-27,NULL,14,C.R.CAÑETE,S,BCOEESMM104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,C.R.CAÑETE
1938,4,"CAIXA R. DE CALLOSA D'EN SARRIA,CCV","CAIXA R. DE CALLOSA D'EN SARRIA, C.C.V.","CAIXA RURAL DE CALLOSA D'EN SARRIA, COOPERATIVA DE CREDITO VALENCIANA",NULL,NULL,F03042595,AV,"JAIME I",1,NULL,3510,"CALLOSA D'EN SARRIA",ALICANTE,ES,NULL,965880058,NULL,965880001,WWW.RURALVIA.COM/CALLOSA,NULL,NULL,0000,2008-02-18,1969-05-07,NULL,3,CAIXACALLOSA,S,BCOEESMM105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,CAIXACALLOSA
1939,4,"CAJA R. S. ANTONIO DE BENICASIM","CAJA R. S. ANTONIO DE BENICASIM, S.C.C.V.","CAJA RURAL SAN ANTONIO DE BENICASIM, S. COOP. DE CREDITO V.","CAJA RURAL CREDICOOP, S. COOP. DE CREDITO",NULL,F12013330,CL,"SANTO TOMAS",78,NULL,12560,BENICASIM,CASTELLON,ES,NULL,964300249,NULL,964300249,NULL,2001-07-24,"POR CESION DE ACTIVOS Y PASIVOS DE LA ACTIVIDAD FINANCIERA A",3061,2002-06-27,1969-10-14,NULL,12,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. BENICASIM"
1940,4,"CAJA R. CATOLICO AGRARIA, S.C.C.V.","CAJA R. CATOLICO AGRARIA, S.C.C.V.","CAJA RURAL CATOLICO AGRARIA, S. COOP. DE CREDITO V.",NULL,NULL,F12013223,PZ,MAYOR,10,NULL,12540,"VILLARREAL DE LOS INFANTES",CASTELLON,ES,NULL,964520200,NULL,964521798,WWW.CAJARURALVILLARREAL.COM,NULL,NULL,0000,2008-02-18,1969-10-23,NULL,12,NULL,N,BCOEESMM110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,C.R.VILLARREAL
1941,4,"C.R. LA VALL ""S.ISIDRO, S.C.C.V","CAIXA R. LA VALL 'S. ISIDRO', S.C.C.V.","CAIXA RURAL LA VALL 'SAN ISIDRO', SOCIEDAD COOPERATIVA DE CREDITO VALENCIANA",NULL,NULL,F12013207,AV,"CORAZON DE JESUS",3,NULL,12600,"VALL DE UXO",CASTELLON,ES,NULL,964697989,NULL,964697988,WWW.CAIXARURALLAVALL.COM,NULL,NULL,0000,2008-02-18,1969-10-23,NULL,12,NULL,N,BCOEESMM111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. LA VALL"
1942,4,"CAJA R. S. JOSE DE BURRIANA, SCCV","CAJA R. S. JOSE DE BURRIANA, S.C.C.V.","CAJA RURAL SAN JOSE DE BURRIANA, S. COOP. DE CREDITO V.",NULL,NULL,F12013256,PZ,"EL PLA",1,NULL,12530,BURRIANA,CASTELLON,ES,NULL,964510927,NULL,964517350,WWW.CAJARURAL.COM/BURRIANA,NULL,NULL,0000,2008-02-18,1969-10-14,NULL,12,NULL,N,BCOEESMM112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. SAN JOSE"
1943,4,"CAJA R. S. JOSE DE ALCORA S.C.C.V.","CAJA R. S. JOSE DE ALCORA S.C.C.V.","CAJA RURAL SAN JOSE DE ALCORA S. COOP. DE CREDITO V.",NULL,NULL,F12013272,CL,"SAN FRANCISCO",14,NULL,12110,ALCORA,CASTELLON,ES,NULL,964360976,NULL,964360976,WWW.RURALVIA.COM/ALCORA,NULL,NULL,0000,2008-02-18,1969-10-14,NULL,12,NULL,N,BCOEESMM113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"SAN JOSE ALCORA"
1944,4,"CAJA R. CASTELLON S. ISIDRO, SCCV","CAJA R. CASTELLON S. ISIDRO, S.C.C.V.","CAJA RURAL CASTELLON - S. ISIDRO, S. COOP. DE CREDITO V.",NULL,NULL,F12013355,CL,GASSET,1,NULL,12001,"CASTELLON DE LA PLANA",NULL,ES,N,964723200,NULL,964224542,WWW.CRCS.ES,NULL,NULL,0000,2008-02-18,1969-10-14,NULL,12,NULL,N,BCOEESMM114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. CASTELLON"
1945,4,"CAJA R.""NUESTRA MADRE DEL SOL"",SCAC","CAJA R. 'NUESTRA MADRE DEL SOL', S.C.A.C.","CAJA RURAL 'NUESTRA MADRE DEL SOL', S. COOP. ANDALUZA DE CREDITO",NULL,NULL,F14011399,CL,"ALTO GUADALQUIVIR",4,NULL,14430,ADAMUZ,CORDOBA,ES,NULL,957166028,NULL,957166313,NULL,NULL,NULL,0000,2008-02-18,1959-05-18,NULL,14,NULL,N,BCOEESMM115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"CR N. MADRE SOL"
